Date,Forecast,Lower_90,Upper_90,Lower_95,Upper_95
2026-01-26,2137.935924722603,2069.2096144294514,2214.339990844851,2048.5117478712823,2235.019667095509
2026-01-27,2139.2495000769177,2038.3031604380876,2245.193653840333,2008.0820062424807,2272.1199840258055
2026-01-28,2136.388425591873,2019.8488504357813,2268.8926964196007,1989.2463109064397,2309.4708644435177
2026-01-29,2140.5302606876085,2005.0637328216021,2277.1588942432363,1970.290606428821,2323.697622348183
2026-01-30,2129.998150143837,1984.4895567285566,2303.1766269964414,1941.775983856549,2353.989992940401
2026-02-02,2143.6414629805686,1966.6473414308625,2322.1664925686737,1924.7212925215704,2359.835701083845
2026-02-03,2140.3805289888433,1964.7164881099955,2342.6911179652243,1905.7058896454048,2399.560683030269
2026-02-04,2142.8949331826234,1941.820350533331,2349.9667526083076,1898.6559118937564,2418.036861472347
2026-02-05,2149.290806639048,1934.0313654820275,2361.5812254562184,1883.707324288755,2419.1175533887977
2026-02-06,2146.9098716740045,1933.664188449329,2376.603342751102,1869.6447499984324,2433.5223946804836
2026-02-09,2135.4471171314963,1921.263709936339,2388.6296881857047,1853.0136099163797,2446.9596051827793
2026-02-10,2131.3276218737437,1910.6254138461543,2402.8222280186724,1843.2285212860343,2466.1432063545885
2026-02-11,2140.01857853656,1904.5668533643122,2408.217039684905,1828.3836772457425,2473.329461567739
2026-02-12,2139.535783236951,1894.9508141909678,2423.459499329269,1824.4624200109852,2506.7218078130204
2026-02-13,2138.3057389399537,1877.5141379920544,2442.494981379881,1799.0041670700186,2522.863485778397
2026-02-16,2138.093945569187,1861.719325681835,2453.11811965282,1797.0799887285891,2551.472472004397
2026-02-17,2137.813863916048,1852.1314366857598,2451.545460520388,1785.5028511195933,2533.50536750407
2026-02-18,2132.542260868352,1849.786002229079,2460.4998155335275,1778.9328219971542,2556.503432861407
2026-02-19,2130.9811669170413,1842.8806656465777,2480.9944586728648,1769.4776723623115,2577.1113552899283
2026-02-20,2132.8441927387375,1830.6146463438643,2489.8290750069204,1767.7936516305215,2594.7357919546903
2026-02-23,2135.482887099996,1820.4120553062742,2497.1383970092784,1762.073569082078,2621.421905867537
2026-02-24,2141.487215429952,1826.9245970788597,2514.391868154055,1746.7180370115434,2619.466343406725
2026-02-25,2139.32444538688,1826.0999217111844,2523.00444364044,1750.2693290041932,2652.7206782211183
2026-02-26,2144.3044898984444,1830.6363688519823,2540.2218540161953,1742.056081459783,2645.8137154517945
2026-02-27,2146.1585562076452,1805.0813093263992,2554.1790678679117,1728.1578087808023,2650.908354532043
2026-03-02,2150.8489867727953,1797.9809971478849,2561.7615014058756,1709.3037877031986,2668.4784213670655
2026-03-03,2158.784165049781,1796.8606824989004,2561.207519908806,1689.5934104292887,2698.4807349884513
2026-03-04,2160.765306043182,1793.2168890997766,2567.258409544594,1681.3755182679756,2711.9264376233436
2026-03-05,2152.2273712836254,1773.1290402805364,2599.313668063946,1669.8463875248867,2736.5937766047577
2026-03-06,2149.236319787702,1774.2435075871952,2579.033958387465,1680.5845596943682,2729.8663125908356
2026-03-09,2152.8240028129285,1770.3447405331851,2588.1176765806135,1643.2455079009978,2750.020131684
2026-03-10,2150.357015416529,1777.6473582943831,2602.9017342337033,1650.8310662782624,2736.125565068594
2026-03-11,2155.307438055758,1757.0955469229891,2594.3917266181174,1629.270033054612,2766.5687328697754
2026-03-12,2144.8527417614278,1762.9237920917235,2607.8350943256282,1643.2882771605507,2774.7338222630538
2026-03-13,2151.041679711737,1757.9824039639936,2624.5825105704193,1634.3856190694783,2782.0318479911766
2026-03-16,2143.7682459975913,1753.2582661025908,2635.8372810258384,1634.8279825031836,2784.3677704254387
2026-03-17,2146.249852991774,1755.4109321572635,2645.033789951714,1631.5669685186226,2816.3493262443617
2026-03-18,2143.8704044278984,1725.1362219360583,2642.777828673705,1628.6689508395834,2790.055952045177
2026-03-19,2143.2825800469654,1713.6261143961437,2655.4570378093304,1623.1843404767346,2817.025909386861
2026-03-20,2143.8356483062216,1712.7518828221398,2659.2285547276097,1596.3205086688067,2835.2301662571867
2026-03-23,2153.0409085731826,1712.754864383266,2684.244518213424,1592.975996866525,2845.3489605407754
2026-03-24,2160.4160176931387,1701.4089027616185,2688.5656045254595,1579.8429754400906,2870.511757645427
2026-03-25,2158.822398954979,1698.9992150970122,2687.9668137689437,1584.002502923849,2894.9764081200865
2026-03-26,2158.7575029581158,1689.5423922053951,2685.536868023104,1586.2203719621261,2882.864550524949
2026-03-27,2149.8832535225447,1697.9850326231199,2708.0180445628407,1582.9981252486705,2887.4015920203665
2026-03-30,2154.873224700532,1692.4842250894756,2716.4443571915363,1572.768105908157,2883.723882628706
2026-03-31,2156.5349781705277,1694.4098030916707,2708.215367011711,1570.3362684520148,2870.574950085564
2026-04-01,2154.6310303664354,1679.854798679849,2738.693915954804,1553.627831050112,2897.1805287954394
2026-04-02,2163.931871734539,1687.117657855517,2727.942468215396,1575.7316663201495,2916.310561358778
2026-04-03,2166.229774927432,1690.368453740868,2727.8325826937225,1571.0581902451813,2947.256181023256
2026-04-06,2161.3006966127223,1672.5296142806026,2736.3764342055274,1569.5570471765557,2930.70008759077
2026-04-07,2161.430486903554,1672.9792424664147,2721.1606575590345,1549.3547702762844,2948.11894509464
2026-04-08,2153.477197136742,1654.769932194243,2733.7488049861427,1549.795724622828,2947.937113425161
2026-04-09,2158.678248879188,1644.1593869203057,2747.611582705489,1534.665676477228,2944.631328236246
2026-04-10,2159.5574326469423,1645.5851862760137,2748.401943385131,1536.121343984216,2942.3549101064978
2026-04-13,2154.6534055457746,1653.306044528324,2752.8460554238877,1527.500412101087,2948.1476263820978
2026-04-14,2154.912213510837,1628.446212505972,2747.6163293359764,1529.8768113930764,2946.585579988793
2026-04-15,2153.378713139363,1633.0266149601775,2768.6211256940605,1533.3477329816012,2969.8796878517674
2026-04-16,2145.0521870026378,1641.0960356584983,2760.1819266868774,1518.9172079714806,2986.811292895307
2026-04-17,2149.9831225794433,1651.7973599903771,2775.0400659729958,1506.0212386034395,3018.029810364216
2026-04-20,2146.1949436051673,1647.71424474439,2781.972206760142,1499.6274690433993,3012.48416390803
2026-04-21,2145.8423259770816,1643.346114733936,2776.946754542143,1496.8891975862862,3011.880082828906
2026-04-22,2140.739875210632,1637.1243684868912,2794.1816408930695,1483.8695970042922,2987.369021077121
2026-04-23,2141.825404305743,1623.101869061688,2802.993670443513,1501.0209373284458,3010.046994116069
2026-04-24,2148.8373899508297,1625.2542834158935,2808.0183227042858,1474.9399680169756,3005.2157208642457
2026-04-27,2143.594214809631,1609.549081161734,2821.3090529096253,1473.0092181323075,3046.060180387625
2026-04-28,2154.582183729482,1612.1201715898424,2801.439958357097,1472.0814174397167,3039.6859475532856
2026-04-29,2141.944372925673,1617.4189711555555,2816.7145321166,1463.6651943953686,3032.3728248651864
2026-04-30,2142.4075310090902,1620.961129607536,2827.1375611883072,1458.7694614013674,3079.2047593686266
2026-05-01,2134.355026045374,1596.969808065428,2831.7674130572,1444.7753328131596,3085.463331213777
2026-05-04,2135.169247320415,1604.9426056229968,2829.980841840147,1432.0511152072677,3073.071447364171
2026-05-05,2148.420687779394,1597.851056202602,2840.5433251382788,1426.9404278314166,3081.248761504166
2026-05-06,2145.894361641942,1603.1323970827848,2838.602212113432,1439.7960262415045,3094.809056379243
2026-05-07,2142.875484131163,1581.5688864514377,2866.7098920271196,1434.8258426984796,3114.8671606753755
2026-05-08,2148.9720135273756,1584.5984863548085,2853.8608254862615,1423.5049018788327,3121.017782455953
2026-05-11,2139.024982680955,1581.4333821672294,2865.987429517646,1430.6536437870643,3127.000701572084
2026-05-12,2148.1668087218436,1575.0140884789066,2873.4795500449504,1406.5136897853802,3129.94643692284
2026-05-13,2155.5414651174997,1565.7940025524802,2888.2050991321325,1393.1112194290195,3153.4242698790376
2026-05-14,2152.983394412793,1561.6249231440456,2898.126502848941,1402.7072017676153,3153.2138979707593
2026-05-15,2147.4167788692134,1565.4064932854537,2903.539619171123,1409.2313838074497,3169.6873871876574
2026-05-18,2158.6567343223915,1540.0103130560135,2896.6839139373906,1400.117187890752,3185.639568920759
2026-05-19,2150.3322716280572,1541.485599721592,2929.255192683927,1410.4353637542365,3201.639921488786
2026-05-20,2141.1718795832758,1551.4821867098735,2935.186251374257,1395.0256780562718,3207.351184144533
2026-05-21,2149.6531835615406,1547.9285107367268,2913.6508304596578,1384.326937209223,3225.8732835556325
2026-05-22,2148.986003495426,1548.2650857711276,2946.157660132322,1401.92711698634,3246.2109658166246
2026-05-25,2149.1092142555362,1548.4849454401322,2936.328073228263,1404.6801593064167,3272.116589465685
2026-05-26,2143.516874222706,1540.0074076366952,2969.0719592271257,1391.1797433828128,3279.840654829818
2026-05-27,2140.2265319158932,1531.53018266856,2956.7489283609516,1387.160956530698,3268.718742133187
