Date,ARIMA_Forecast,ARIMA_Lower,ARIMA_Upper,XGB_Forecast
2026-01-24,2275.021214383226,2192.4742920119684,2357.5681367544835,2122.502197265625
2026-01-25,2264.1796658651224,2148.0238593821305,2380.3354723481143,2054.279541015625
2026-01-26,2270.31467184951,2126.6726416142487,2413.956702084771,2067.923095703125
2026-01-27,2284.9163198319684,2119.611288505856,2450.221351158081,2069.553955078125
2026-01-28,2279.8449233225856,2095.852639472076,2463.837207173095,2066.552490234375
2026-01-29,2269.0209958584123,2067.0946571643076,2470.947334552517,2036.591796875
2026-01-30,2277.528695452025,2058.691423486745,2496.3659674173055,2043.26708984375
2026-01-31,2290.2048737932746,2056.5006396274784,2523.9091079590708,2052.10400390625
2026-02-01,2283.620697640351,2036.1838882053335,2531.0575070753684,2087.94580078125
2026-02-02,2274.556078202965,2013.3180880362513,2535.7940683696793,2064.7216796875
2026-02-03,2284.4889930449567,2009.9290608332826,2559.048925256631,2060.35986328125
2026-02-04,2295.296861142663,2008.706802452809,2581.8869198325174,2072.67919921875
2026-02-05,2287.4867761144637,1989.4382309280359,2585.5353213008916,2056.21435546875
2026-02-06,2280.3410639337585,1970.5952252313793,2590.0869026361374,2036.1734619140625
2026-02-07,2291.3161106129655,1970.2244371756547,2612.4077840502764,2047.5948486328125
2026-02-08,2300.16504105023,1968.6830487412176,2631.647033359242,2050.695556640625
2026-02-09,2291.497613369648,1949.920939743663,2633.0742869956334,2042.513671875
2026-02-10,2286.334049873472,1934.388256680816,2638.279843066128,2036.878173828125
2026-02-11,2297.9844543337917,1935.9896482475674,2659.979260420016,2039.1524658203125
2026-02-12,2304.843303012926,1933.5511265805067,2676.135479445345,2063.056884765625
2026-02-13,2295.6788630937635,1915.2193407993839,2676.1383853881434,2056.929931640625
2026-02-14,2292.4985669537177,1902.6078875687767,2682.3892463386587,2065.218505859375
2026-02-15,2304.472442303962,1905.467421027825,2703.477463580099,2049.888671875
2026-02-16,2309.368824516434,1901.8553911364634,2716.8822578964046,2058.429931640625
2026-02-17,2300.0486316093697,1884.047709270635,2716.0495539481044,2071.849609375
2026-02-18,2298.7968195014378,1874.0749138593442,2723.5187251435314,2075.933837890625
2026-02-19,2310.765490692372,1877.6431756473003,2743.887805737444,2045.7896728515625
2026-02-20,2313.7796876354905,1872.7482189551888,2754.8111563157922,2027.9853515625
2026-02-21,2304.6180519479854,1855.623751958317,2753.612351937654,2020.8194580078125
2026-02-22,2305.190722995242,1848.0393663874502,2762.342079603034,2030.485595703125
2026-02-23,2316.855836978985,1851.8710651993438,2781.840608758626,2027.3216552734375
2026-02-24,2318.1137038392776,1845.6913216894577,2790.5360859890975,2018.8887939453125
2026-02-25,2309.3916187877403,1829.4269791624902,2789.3562584129904,2034.289306640625
2026-02-26,2311.642998902998,1823.9847807145225,2799.3012170914735,2045.3447265625
2026-02-27,2322.742133168413,1827.713342184907,2817.770924151919,2042.4642333984375
2026-02-28,2322.4073748018,1820.3218562500617,2824.4928933535384,2056.170654296875
2026-03-01,2314.367671645005,1805.0872528907278,2823.648090399282,2057.559814453125
2026-03-02,2318.1181492442656,1801.534993016563,2834.701305471968,2064.808837890625
2026-03-03,2328.4288948158073,1804.860636013363,2851.9971536182516,2066.252685546875
2026-03-04,2326.6949858775665,1796.3840153555818,2857.005956399551,2059.6923828125
2026-03-05,2319.539006688852,1782.3271110352127,2856.750902342492,2077.635986328125
2026-03-06,2324.583291651673,1780.4047515241832,2868.7618317791625,2066.196044921875
2026-03-07,2333.925835677534,1783.0880747768408,2884.7635965782274,2062.364990234375
2026-03-08,2331.0078451568547,1773.6906605428983,2888.325029770811,2036.119873046875
2026-03-09,2324.893588312558,1760.929414467846,2888.8577621572704,2011.927490234375
2026-03-10,2331.0088441913863,1760.3714002551892,2901.6462881275834,2009.8043212890625
2026-03-11,2339.247117224962,1762.2291356131245,2916.2650988367996,2028.5494384765625
2026-03-12,2335.3736761316163,1752.1002602587566,2918.647092004476,2023.4449462890625
2026-03-13,2330.4153312905487,1740.7181113562674,2920.11255122483,2027.1407470703125
2026-03-14,2337.3690544715355,1741.2576061437521,2933.480502799319,2039.1571044921875
2026-03-15,2344.410541948844,1742.1590257161974,2946.662058181491,2047.1142578125
2026-03-16,2339.8161669528326,1731.502283460076,2948.1300504455894,2056.272216796875
2026-03-17,2336.084925038879,1721.5463044218411,2950.623545655917,2068.05419921875
2026-03-18,2343.6423724509577,1722.920260521778,2964.3644843801376,2078.987548828125
2026-03-19,2349.43671830667,1722.783539385794,2976.0898972275463,2057.80859375
2026-03-20,2344.3546745817966,1711.807580763386,2976.9017684002074,2070.223876953125
2026-03-21,2341.880672927851,1703.288615918219,2980.4727299374827,2077.72314453125
2026-03-22,2349.8116708112234,1705.2430090546436,2994.380332567803,2071.8134765625
2026-03-23,2354.348223405923,1704.0312423043497,3004.665204507496,2062.862060546875
2026-03-24,2349.004077936612,1692.9418720391673,3005.0662838340563,2039.46533203125
