order,p,d,q,trend_req,trend_used,AIC,BIC,RMSE_test,MSE_test,error
"(1,2,0)",1,2,0,ct,ct,10132.461974308873,10142.155860588044,3161.447918000296,9994752.938228406,ERROR
"(1,2,0)",1,2,0,d,c,10132.461974308873,10142.155860588044,3161.447918000296,9994752.938228406,ERROR
"(0,2,0)",0,2,0,n,n,10401.19585280908,10406.042795948666,4440.458271049651,19717669.656933255,OK
"(0,2,0)",0,2,0,c,c,10401.19585280908,10406.042795948666,4440.458271049651,19717669.656933255,ERROR
"(0,2,0)",0,2,0,t,t,10401.19585280908,10406.042795948666,4440.458271049651,19717669.656933255,ERROR
"(0,2,0)",0,2,0,ct,ct,10401.19585280908,10406.042795948666,4440.458271049651,19717669.656933255,ERROR
"(0,2,0)",0,2,0,d,c,10401.19585280908,10406.042795948666,4440.458271049651,19717669.656933255,ERROR
"(0,0,2)",0,0,2,ct,ct,10832.168739702116,10856.403455400043,357.3176113513829,127675.87538185791,OK
"(0,0,1)",0,0,1,ct,ct,11410.2357757287,11429.627796827006,357.71951109657414,127963.24861917202,OK
"(0,0,2)",0,0,2,t,t,12096.72207064222,12116.10984320056,716.2975561749159,513082.18898215686,OK
"(0,0,2)",0,0,2,c,c,12365.319162034777,12384.706934593118,558.3868831893354,311795.9113179005,OK
"(0,0,0)",0,0,0,ct,ct,12431.133191880326,12445.680390728226,358.21375069799853,128317.09118912785,OK
"(0,0,1)",0,0,1,t,t,12691.180038940227,12705.724054763956,716.9021305877158,513948.66484120634,OK
"(0,0,1)",0,0,1,c,c,13253.221921216726,13267.765937040454,565.4448025696637,319727.8247530459,OK
"(0,0,0)",0,0,0,t,t,13877.584296844932,13887.2824294102,718.1308646415949,515711.9387508847,OK
"(0,0,2)",0,0,2,n,n,14213.310331810373,14227.85116122913,2058.992936157496,4239451.911146467,OK
"(0,0,2)",0,0,2,d,n,14213.310331810373,14227.85116122913,2058.992936157496,4239451.911146467,OK
"(0,0,0)",0,0,0,c,c,14474.909298110568,14484.607430675835,573.7975188853864,329243.5926790253,OK
"(0,0,1)",0,0,1,n,n,15891.322318190047,15901.0183287392,2072.545557867237,4295445.089435217,OK
"(0,0,1)",0,0,1,d,n,15891.322318190047,15901.0183287392,2072.545557867237,4295445.089435217,OK
"(0,0,0)",0,0,0,n,n,16603.78215338668,16608.631219669314,2089.9088228445744,4367718.887803595,OK
"(0,0,0)",0,0,0,d,n,16603.78215338668,16608.631219669314,2089.9088228445744,4367718.887803595,OK
