Date,ARIMA_Forecast,ARIMA_Lower,ARIMA_Upper,XGB_Forecast
2025-09-23,144.61691093762417,140.9761371488451,148.25768472640323,178.55914306640625
2025-09-24,145.13114628602173,140.05700023308864,150.20529233895482,176.68264770507812
2025-09-25,145.5645442535134,139.40871381223158,151.7203746947952,177.248779296875
2025-09-26,146.06282348419396,138.94123564034206,153.18441132804585,175.57907104492188
2025-09-27,146.5070698921641,138.55257918052828,154.46156060379994,173.5644073486328
2025-09-28,146.9964423045242,138.25778538257097,155.73509922647744,169.81417846679688
2025-09-29,147.44811929524923,137.99732566570492,156.89891292479354,162.40333557128906
2025-09-30,147.93128516999394,137.79720011890052,158.06537022108736,161.6468505859375
2025-10-01,148.3881467626161,137.61609020997756,159.16020331525462,164.0651397705078
2025-10-02,148.8669816750857,137.47706368281183,160.25689966735956,164.07411193847656
2025-10-03,149.3274611431404,137.35063261745634,161.30428966882445,164.046875
2025-10-04,149.8032738581591,137.25485071803172,162.35169699828646,163.91021728515625
2025-10-05,150.2662779232125,137.16857714297905,163.36397870344595,163.33937072753906
2025-10-06,150.7399817124873,137.10526981831904,164.37469360665554,163.7099609375
2025-10-07,151.20474747170238,137.04977260368736,165.3597223397174,163.61297607421875
2025-10-08,151.67697962721846,137.0118667780392,166.3420924763977,164.0277099609375
2025-10-09,152.1429747178163,136.98069316838667,167.3052562672459,163.93609619140625
2025-10-10,152.61417994958882,136.9632486793156,168.26511121986204,163.99496459960938
2025-10-11,153.0810328824169,136.95175398215073,169.21031178268308,164.06564331054688
2025-10-12,153.55152151444523,136.9511562235397,170.15188680535076,164.01333618164062
2025-10-13,154.01897305990315,136.9558791004078,171.0820670193985,164.01333618164062
2025-10-14,154.4889616400078,136.96938630810502,172.0085369719106,164.01333618164062
2025-10-15,154.95683090456134,136.98767490933804,172.92598689978465,164.01333618164062
2025-10-16,155.42647054241704,137.01314729696804,173.83979378786603,164.01333618164062
2025-10-17,155.89463129638148,137.0429231396241,174.74633945313886,164.01333618164062
2025-10-18,156.36402743813736,137.07865206041993,175.64940281585478,164.01333618164062
2025-10-19,156.83239159692,137.11825446495115,176.54652872888883,164.01333618164062
2025-10-20,157.30161782416766,137.16284982043055,177.44038582790478,164.01333618164062
2025-10-21,157.77012392127975,137.2109298710476,178.3293179715119,164.01333618164062
2025-10-22,158.23923158013918,137.26324309671472,179.21522006356363,164.01333618164062
2025-10-23,158.7078367235254,137.31868929639188,180.0969841506589,164.01333618164062
2025-10-24,159.1768616439369,137.37775898449115,180.97596430338263,164.01333618164062
2025-10-25,159.64553590300488,137.4396438760061,181.85142793000367,164.01333618164062
2025-10-26,160.1145030875319,137.5046563224402,182.72434985262356,164.01333618164062
2025-10-27,160.58322557635427,137.5721973675045,183.59425378520405,164.01333618164062
2025-10-28,161.05215247208645,137.64245726883243,184.46184767534047,164.01333618164062
2025-10-29,161.5209086162117,137.71498765477375,185.32682957764965,164.01333618164062
2025-10-30,161.98980739793805,137.78989589993026,186.18971889594584,164.01333618164062
2025-10-31,162.45858702713863,137.8668424013564,187.05033165292087,164.01333618164062
2025-11-01,162.92746619057348,137.94587894352523,187.90905343762174,164.01333618164062
2025-11-02,163.39626220794216,138.02674488864312,188.7657795272412,164.01333618164062
2025-11-03,163.8651276814971,138.10945533293295,189.62080003006128,164.01333618164062
2025-11-04,164.33393513472672,138.19380732326675,190.47406294618668,164.01333618164062
2025-11-05,164.80279105531878,138.27979228368295,191.3257898269546,164.01333618164062
2025-11-06,165.27160648862971,138.36724971411215,192.17596326314728,164.01333618164062
2025-11-07,165.74045574304932,138.45615626882272,193.02475521727592,164.01333618164062
2025-11-08,166.209276744957,138.54638296488466,193.87217052502936,164.01333618164062
2025-11-09,166.67812134764128,138.6378977247547,194.71834497052785,164.01333618164062
2025-11-10,167.14694623538279,138.73059520054485,195.56329727022072,164.01333618164062
2025-11-11,167.61578759203016,138.82443863418095,196.40713654987937,164.01333618164062
2025-11-12,168.08461519135327,138.91934060490155,197.24988977780498,164.01333618164062
2025-11-13,168.55345428287703,139.0152623536661,198.09164621208797,164.01333618164062
2025-11-14,169.02228377437442,139.1121302298713,198.93243731887753,164.01333618164062
2025-11-15,169.4911212852677,139.2099052109293,199.7723373596061,164.01333618164062
2025-11-16,169.95995209714704,139.3085243685486,200.61137982574547,164.01333618164062
2025-11-17,170.42878850505733,139.40794951102666,201.449627499088,164.01333618164062
2025-11-18,170.89762023831508,139.5081261801562,202.28711429647396,164.01333618164062
2025-11-19,171.36645587655056,139.6090176742206,203.1238940788805,164.01333618164062
2025-11-20,171.8352882527573,139.7105763257574,203.9600001797572,164.01333618164062
2025-11-21,172.30412335390446,139.81276729041286,204.79547941739605,164.01333618164062
