Date,ARIMA_Forecast,ARIMA_Lower,ARIMA_Upper,XGB_Forecast
2025-09-24,223.9410689599512,217.14422546888213,230.73791245102026,220.40879821777344
2025-09-25,224.3493822496194,214.96721104919862,233.73155345004017,225.0123291015625
2025-09-26,224.09757628478607,212.7136778031676,235.48147476640455,228.8507080078125
2025-09-27,223.42052482094323,210.28497184471954,236.55607779716692,226.86012268066406
2025-09-28,222.83358958335293,208.06988625705034,237.59729290965552,227.02340698242188
2025-09-29,222.77117102311283,206.48940184670602,239.05294019951964,224.07073974609375
2025-09-30,223.26558589096186,205.6062239354667,240.92494784645703,219.9630126953125
2025-10-01,223.93385367707776,205.05236292910766,242.81534442504787,219.2034454345703
2025-10-02,224.2739263543485,204.29898729580177,244.24886541289524,221.89353942871094
2025-10-03,224.04154972813447,203.04573246851956,245.03736698774938,224.0279541015625
2025-10-04,223.4251019297619,201.42692590303477,245.42327795648902,224.40679931640625
2025-10-05,222.89373022160024,199.88795125309116,245.8995091901093,221.74061584472656
2025-10-06,222.84061747082745,198.8375123817648,246.8437225598901,221.61366271972656
2025-10-07,223.29240142930706,198.33880089270656,248.24600196590757,219.56906127929688
2025-10-08,223.89922983892208,198.06700639419384,249.73145328365032,219.395263671875
2025-10-09,224.20528823582654,197.56028531395557,250.8502911576975,221.99432373046875
2025-10-10,223.99089847292768,196.56796069405976,251.4138362517956,222.5857391357422
2025-10-11,223.42965015149926,195.22957024299635,251.62973006000217,221.8151092529297
2025-10-12,222.94860495594585,193.9569091550612,251.9403007568305,222.647216796875
2025-10-13,222.90362134008885,193.11808425750988,252.68915842266782,224.73513793945312
2025-10-14,223.31642435465142,192.76304506906732,253.86980364023552,230.39303588867188
2025-10-15,223.86744338336268,192.59286701839744,255.14201974832793,231.9298553466797
2025-10-16,224.14285399980284,192.19128738384637,256.0944206157593,232.47439575195312
2025-10-17,223.9451095830786,191.33869695961192,256.55152220654526,233.45281982421875
2025-10-18,223.43413654218452,190.16968316190673,256.6985899224623,232.37664794921875
2025-10-19,222.99867241485057,189.06150952283792,256.9358353068632,229.19793701171875
2025-10-20,222.9607782446372,188.34592852578174,257.57562796349265,232.56968688964844
2025-10-21,223.33794028491923,188.0627975954515,258.61308297438694,231.76177978515625
2025-10-22,223.83826571597362,187.93703399642555,259.7394974355217,234.1478729248047
2025-10-23,224.08606483290703,187.59167791893756,260.58045174687646,232.4281463623047
2025-10-24,223.9037188272036,186.8320201482822,260.975417506125,232.65914916992188
2025-10-25,223.43853440951975,185.7853320062824,261.09173681275706,233.8163299560547
2025-10-26,223.04435151691843,184.7963565419497,261.29234649188714,229.7978057861328
2025-10-27,223.0126289200054,184.1644446425697,261.8608131974411,227.4319610595703
2025-10-28,223.3572060437354,183.92163879923584,262.79277328823497,228.66802978515625
2025-10-29,223.8114862591396,183.81520027866907,263.80777223961013,228.66302490234375
2025-10-30,224.0344120787707,183.50329548792965,264.5655286696118,229.8922119140625
2025-10-31,223.86630607515187,182.81244496407783,264.9201671862259,229.33535766601562
2025-11-01,223.44282244733697,181.86195064280352,265.02369425187044,229.4122314453125
2025-11-02,223.08602488670874,180.96646460923427,265.2055851641832,228.07791137695312
2025-11-03,223.05966426304494,180.39630809739475,265.7230204286951,225.11477661132812
2025-11-04,223.37445252920395,180.17728787918736,266.57161717922054,224.57736206054688
2025-11-05,223.78691107349746,180.07749225489133,267.49632989210363,227.2015838623047
2025-11-06,223.98743275262,179.78677908162712,268.1880864236129,226.27667236328125
2025-11-07,223.83249112778304,179.1501965212616,268.5147857343045,227.0828399658203
2025-11-08,223.44698397577426,178.27903165303718,268.61493629851134,225.6900634765625
2025-11-09,223.12404197888458,177.46027394947856,268.7878100082906,224.7144317626953
2025-11-10,223.10232991018853,176.93814621558343,269.26651360479366,223.46331787109375
2025-11-11,223.38988729969287,176.73337878471062,270.0463958146751,220.2382049560547
2025-11-12,223.76436158046758,176.63337229329704,270.8953508676381,223.6589813232422
2025-11-13,223.94470545545173,176.35667346516803,271.5327374457354,224.35214233398438
2025-11-14,223.80192993938414,175.7646792033401,271.83918067542817,224.78562927246094
2025-11-15,223.45100627511047,174.96087926277974,271.94113328744123,226.9133758544922
2025-11-16,223.15872193539263,174.20691323648026,272.110530634305,226.45291137695312
2025-11-17,223.1410303965311,173.72349193352753,272.5585688595347,226.88735961914062
2025-11-18,223.4036969043057,173.5271610007742,273.28023280783714,227.09683227539062
2025-11-19,223.7436733789416,173.42316322569448,274.06418353218874,227.9882049560547
2025-11-20,223.90584665233936,173.15605339976997,274.65563990490875,227.5321502685547
2025-11-21,223.77431119590688,172.6017412919407,274.94688109987305,228.27369689941406
2025-11-22,223.45488000251365,171.85625976109043,275.05350024393687,227.79983520507812
