Date,Forecast,Lower_90,Upper_90,Lower_95,Upper_95
2025-09-23,179.55211652790302,173.36029533097872,185.66286916590872,171.7572591541469,187.38106365108337
2025-09-24,175.72395782285787,166.8958730467917,184.59821346594103,164.6253790635832,187.31528893671128
2025-09-25,177.9689743739964,166.78851556268924,190.17138781875843,163.84262097615593,193.8793122334728
2025-09-26,181.37815414150003,168.90724549495908,195.64032718151026,164.97894728646952,200.28005845785577
2025-09-29,179.80875444768196,165.76913116660185,196.03430609552066,161.1928619409149,200.00610507583025
2025-09-30,179.72435915847873,163.39930830451922,197.5356724441147,159.35148426842875,204.5471469483534
2025-10-01,182.58664528152627,164.82223386309477,202.0662251598544,160.01312513487812,206.99092248195572
2025-10-02,182.65771088607113,164.18662737750662,204.08366304027373,158.74979641571724,211.15035980980116
2025-10-03,181.59929429218147,161.92191894365993,204.14125068422848,157.18148457742524,211.54756068489496
2025-10-06,182.64879904337394,161.6909269469071,206.63337536571575,155.82505042678704,213.93235948014885
2025-10-07,184.08586224247995,162.23770426528532,210.55802135341094,155.01445838292761,216.7523532394531
2025-10-08,183.7620038555076,161.972211066761,210.69985049380557,154.2642392612313,217.96808807148037
2025-10-09,183.83568604346056,161.24654367555647,212.36733225102654,154.03494967876404,220.40120062682675
2025-10-10,185.6701679598749,161.9106516377336,213.94380587510145,154.3618453846743,225.94247262669518
2025-10-13,186.06272319785887,161.5691022568776,217.10963479736267,154.84206144331108,228.11036021241586
2025-10-14,186.85626769720346,160.7162405531559,220.00658102303592,154.37559144299306,229.94990712775981
2025-10-15,187.62765519486842,161.12320556857213,221.7405433063958,154.31470996933493,231.3005308367163
2025-10-16,189.50682273652404,160.99771344269678,225.5430349436376,154.5836088699428,235.0313183766815
2025-10-17,188.90123048929482,160.42962545857847,225.78337495584393,152.56422243182243,237.16118736444287
2025-10-20,190.1068493700634,160.19936847848382,227.44195144273442,151.933882520344,237.26536259378767
2025-10-21,190.9449870588046,160.22042267724598,228.23691577960062,153.33026748150132,241.458515676783
2025-10-22,191.76007135899437,160.5900210553727,231.4903740189799,153.6279938494965,241.53590964329695
2025-10-23,192.19961819938027,159.65323962658795,230.9494055300956,152.63121579336962,243.46953596763376
2025-10-24,192.31080290047544,160.65057079222817,233.357448589305,152.30904874600165,245.8028114272398
2025-10-27,193.4629753463372,160.2818644513735,234.01450606214317,153.18500300538332,247.45395364708472
2025-10-28,193.460160373908,159.9989208646598,236.3258852529968,150.64318626017007,248.72237642401092
2025-10-29,194.2779994566099,159.4008543258913,238.89796964346004,149.57871131039005,253.31954250739128
2025-10-30,194.9707537203887,159.27982657027874,241.97725808579634,150.54473856008823,255.3989937581315
2025-10-31,196.1026382305173,159.3080781409523,242.99726379461194,149.93500487209704,259.6707880839933
2025-11-03,197.65774159701755,159.0851692803182,244.76430383303713,150.33596930904676,257.8578059115975
2025-11-04,197.96419401525372,160.20088707139445,245.60628354277296,149.8166924968262,262.2159361075354
2025-11-05,198.54738076516776,159.18091077582915,247.7888239405611,150.29622873583097,263.172053264339
2025-11-06,199.8620052536146,158.57880242985445,250.6762374130576,149.66177337078344,264.69688483053625
2025-11-07,199.99634363282502,160.12923681385547,253.33583899435786,149.10631966973992,266.9454729877115
2025-11-10,200.43386679063576,159.37048737734128,253.42159691169948,150.7912546163326,268.101877427232
2025-11-11,201.33191333826286,160.6051192232059,254.7384482116918,150.98184542393523,270.08288950065355
2025-11-12,201.9137143610426,160.93126472979569,255.81089319758246,152.06769853691753,269.17460942125155
2025-11-13,203.96175786348672,160.61077644892256,257.07401335288876,151.0694848571818,273.737903962537
2025-11-14,203.76337642709706,160.62202130429915,258.3358470833562,149.77174464477483,276.10239049800015
2025-11-17,205.08159048406378,162.74085735049712,260.69153817443043,151.05796698728975,279.36448812470803
2025-11-18,206.1754773371364,161.92736748039525,263.57151000415223,149.85801867372754,279.2798569274937
2025-11-19,206.47959532170017,160.67017609652186,266.7067351530382,150.53188922462263,281.4233690363099
2025-11-20,207.61535029924516,160.42086797928835,267.42904930611485,148.10694566504552,283.2641092609104
2025-11-21,208.55679366902518,158.7623737703874,267.96048854663974,148.967132678085,287.3614854333833
2025-11-24,208.94844102562678,160.04642997821702,269.287817682563,147.62030447121,289.4796964148675
2025-11-25,209.20485474046512,159.9665941910173,271.42485760552495,148.9420550258117,290.88015621174134
2025-11-26,210.96963393346755,160.2891179147058,275.4693398798345,148.51467526822927,290.64411631298265
2025-11-27,211.35007488488486,160.7330841653201,277.50756908870454,149.60272323975423,291.91286810001367
2025-11-28,213.5129859418551,160.72361909539111,276.4358819599156,148.58156761247614,296.4534651959669
2025-12-01,212.91679933630869,161.0924905393053,278.3488811470474,147.92644018492305,298.232302287177
2025-12-02,212.92827032245714,161.3215318650013,278.3337906553796,146.7686427442581,303.1485110985002
2025-12-03,213.9335905285813,160.95070346906022,278.337280137843,146.90281656483782,304.85502331309493
2025-12-04,214.32908148662005,161.6999326659252,280.47158609232065,148.33166218317143,304.64739946622575
2025-12-05,215.69271642585915,162.0018055266843,280.8280727431521,149.62412987841583,303.3844817420521
2025-12-08,216.015511984758,162.14091188710128,285.2456922656826,148.0892333766705,304.7499473798137
2025-12-09,216.50058679413047,162.06176211584173,287.8127991424379,148.1999540526084,308.0792563849331
2025-12-10,216.13147295293516,161.43275136071478,289.15860597125015,148.1497111932181,305.97036968783
2025-12-11,216.85324714447765,161.94865896503177,290.07405615146496,148.18157984454947,310.25949358996763
2025-12-12,218.3582032214601,163.36733317856917,291.1567991195079,146.82203333176375,312.27477285018364
