Date,Forecast,Lower_90,Upper_90,Lower_95,Upper_95
2025-09-24,220.58224053792128,215.42962237290556,226.1421390261057,214.30894110772212,227.6273238626148
2025-09-25,220.85199777519932,212.99492492545272,227.85740992172333,211.0114771453231,229.76457997688664
2025-09-26,220.66630223703726,210.82516213926482,229.32984296058135,208.37706620423472,231.59117267306337
2025-09-29,220.37992619804058,209.9964101385854,230.32732816324875,206.62634303626075,233.12171130652385
2025-09-30,220.7204688761865,208.64969333498942,231.24347382675228,206.0978725429067,235.01266439157808
2025-10-01,220.17701791987088,208.03172486885597,232.9726311781522,204.42539002409563,236.84655626490942
2025-10-02,220.78387869056223,207.27375113835336,234.19284035132011,202.91651657733166,237.51614703455922
2025-10-03,220.50022585349168,206.53898845629726,235.26900215146082,202.58451291425155,239.91834769671513
2025-10-06,220.54354171901196,206.18266758889027,235.79568700404639,201.77631918161802,240.5982544130143
2025-10-07,220.56601287241753,205.5358388481721,236.14756820829533,200.37057558610263,241.13898737395155
2025-10-08,220.2274015964358,204.4107309224835,237.52219700102583,200.3807185156411,242.0009317292689
2025-10-09,220.50225874712993,203.8306470438198,237.83791782026458,199.95113430665484,243.13463260033495
2025-10-10,219.93890955099326,202.14876934977315,238.59675649761908,198.62158580299874,242.57932283238256
2025-10-13,220.44759016125613,201.66171589356932,239.61292561286197,197.6526975370519,244.47046249008187
2025-10-14,220.56031079406512,201.6931491888077,239.99729892119558,197.11691602839784,246.36238779849282
2025-10-15,220.69904554286097,201.33637002105513,240.75165918561996,197.1889558674999,247.86112540854057
2025-10-16,221.0561599261684,201.23913912065893,241.51562232603814,196.08686841376263,248.36528866883043
2025-10-17,221.03810759528017,200.33818636817452,241.8979199572811,196.2498948261922,250.2645721853482
2025-10-20,220.60879223230424,200.42999877212355,243.54949306956104,194.86645134466997,252.5515596429049
2025-10-21,220.1999918231562,199.8568402705239,243.81205933260395,194.31439918043333,254.17294066826423
2025-10-22,220.20790914267565,199.2992600352256,245.2937081681663,193.91122887455433,253.35079921256693
2025-10-23,220.13923172918476,199.0744904360529,245.45075698318126,193.0058460489946,255.72492808659192
2025-10-24,220.30657141503968,198.04098747906014,247.21425521770578,192.33507395826615,256.3698774132723
2025-10-27,219.91515566954536,198.26785397070535,247.0993048327213,192.86885027584822,258.0178642722731
2025-10-28,219.98560090733957,197.45138144689523,248.83684669932578,193.259140940439,255.5452703883052
2025-10-29,219.8676455052063,197.22916214726706,249.65456992317328,191.54051353604953,258.2904785874262
2025-10-30,220.3967101295384,196.01817699164482,249.9340935403374,190.50091812886964,259.2391184323844
2025-10-31,219.40210744636857,195.86588093849818,250.5937252308483,189.68957801095561,260.77263683331915
2025-11-03,220.24379839686358,196.33933817805314,251.45556958601568,187.57918982010656,261.2784834386843
2025-11-04,220.35458716883602,195.01522789778673,252.35062594835776,188.30725883842186,260.93848652534956
2025-11-05,220.17895496727164,195.18904547363965,251.98848110187467,187.34382696900514,260.92514526331223
2025-11-06,220.2673488834053,193.84251658126743,251.51689451741166,186.87041903078097,263.07475603980686
2025-11-07,221.08408093592612,193.1512031700095,252.88037527680302,186.71402532037527,264.84343778948164
2025-11-10,220.69731734781465,193.1066399299633,252.7396053159487,185.15269013059242,264.3231883830233
2025-11-11,221.19312848247546,192.1431672189753,253.67698682009453,184.84782431635944,264.40579559573507
2025-11-12,221.22485304757748,191.60938696651633,254.42166739573884,183.52292698879677,264.62472910125837
2025-11-13,221.21690601833234,191.13739688465,255.87111248327767,184.68826608137994,264.6657000851177
2025-11-14,220.8157348230347,191.15600910217768,255.3042170521305,184.0068859246734,265.418456283669
2025-11-17,220.7734659732969,189.9489485021958,255.8287033185669,184.14677280245456,265.5445387865386
2025-11-18,221.06216332528376,190.39372028686626,256.5315529975137,183.1542687520422,266.72412931950294
2025-11-19,221.05708757301363,190.1562705518664,256.6559520621695,183.079155080844,266.340450458993
2025-11-20,220.9773773260432,189.81028889949116,257.2834449485332,182.59695844938685,267.3542359902669
2025-11-21,221.3393091018749,189.74784103930887,257.61119724262386,182.80896188982848,268.4156909246588
2025-11-24,221.00632517325243,189.8656310399918,258.1056991737832,183.51183137137514,269.28123090038224
2025-11-25,220.8808958090875,189.26581997492244,258.16467005003364,181.78155753797193,268.44959451595116
2025-11-26,221.02745933364594,188.5651084413296,258.51930075035,182.1996988385277,270.1455005007892
