Date,ARIMA_Forecast,ARIMA_Lower,ARIMA_Upper,XGB_Forecast
2025-09-23,124.42548584638007,122.28621239931859,126.56475929344155,135.86004638671875
2025-09-24,124.54100941072151,121.51989509255931,127.56212372888372,135.8415069580078
2025-09-25,124.65656815184829,120.9616975805385,128.35143872315808,135.8981475830078
2025-09-26,124.77216197027268,120.51171052530081,129.03261341524455,135.90267944335938
2025-09-27,124.88779076678837,120.13117326905983,129.6444082645169,136.0243377685547
2025-09-28,125.00345444246965,119.80017637906771,130.20673250587157,136.0100555419922
2025-09-29,125.11915289867054,119.50687466141164,130.73143113592943,135.99090576171875
2025-09-30,125.23488603702408,119.24353851107291,131.22623356297527,136.0003662109375
2025-10-01,125.35065375944154,119.0047906793447,131.6965168395384,136.0265350341797
2025-10-02,125.46645596811155,118.78670997650428,132.1462019597188,136.0265350341797
2025-10-03,125.58229256549943,118.58633161911393,132.57825351188492,136.0265350341797
2025-10-04,125.69816345434629,118.40134866024161,132.99497824845096,136.0265350341797
2025-10-05,125.81406853766836,118.22992361472292,133.39821346061382,136.0265350341797
2025-10-06,125.93000771875616,118.07056429228794,133.78945114522438,136.0265350341797
2025-10-07,126.04598090117366,117.92203894904416,134.16992285330318,136.0265350341797
2025-10-08,126.16198798875767,117.7833165271178,134.54065945039756,136.0265350341797
2025-10-09,126.27802888561689,117.65352346698783,134.90253430424593,136.0265350341797
2025-10-10,126.39410349613128,117.53191179645468,135.2562951958079,136.0265350341797
2025-10-11,126.51021172495116,117.41783509170732,135.60258835819502,136.0265350341797
2025-10-12,126.62635347699663,117.31073005821244,135.9419768957808,136.0265350341797
2025-10-13,126.74252865745659,117.21010220349812,136.27495511141504,136.0265350341797
2025-10-14,126.85873717178812,117.11551454201474,136.60195980156152,136.0265350341797
2025-10-15,126.97497892571575,117.02657858226338,136.92337926916812,136.0265350341797
2025-10-16,127.09125382523054,116.94294705622002,137.23956059424106,136.0265350341797
2025-10-17,127.20756177658951,116.86430799593138,137.55081555724763,136.0265350341797
2025-10-18,127.32390268631478,116.79037986393003,137.85742550869952,136.0265350341797
2025-10-19,127.44027646119281,116.72090751678257,138.15964540560304,136.0265350341797
2025-10-20,127.55668300827374,116.65565883373465,138.45770718281284,136.0265350341797
2025-10-21,127.67312223487055,116.5944218810798,138.7518225886613,136.0265350341797
2025-10-22,127.78959404855841,116.53700251162495,139.0421855854919,136.0265350341797
2025-10-23,127.90609835717385,116.48322232024059,139.3289743941071,136.0265350341797
2025-10-24,128.02263506881405,116.43291689291162,139.6123532447165,136.0265350341797
2025-10-25,128.13920409183615,116.38593429931086,139.89247388436144,136.0265350341797
2025-10-26,128.25580533485643,116.34213378868117,140.1694768810317,136.0265350341797
2025-10-27,128.37243870674968,116.3013846564371,140.44349275706224,136.0265350341797
2025-10-28,128.48910411664835,116.26356525490132,140.71464297839537,136.0265350341797
2025-10-29,128.60580147394194,116.22856212635273,140.98304082153115,136.0265350341797
2025-10-30,128.72253068827615,116.19626924036673,141.24879213618559,136.0265350341797
2025-10-31,128.8392916695523,116.16658732048678,141.51199601861782,136.0265350341797
2025-11-01,128.95608432792648,116.13942324774028,141.77274540811268,136.0265350341797
2025-11-02,129.07290857380892,116.1146895305256,142.03112761709224,136.0265350341797
2025-11-03,129.1897643178631,116.09230383204469,142.28722480368154,136.0265350341797
2025-11-04,129.30665147100538,116.07218854781183,142.54111439419893,136.0265350341797
2025-11-05,129.42356994440388,116.05427042688844,142.79286946191934,136.0265350341797
2025-11-06,129.54051964947803,116.0384802314264,143.04255906752965,136.0265350341797
2025-11-07,129.65750049789781,116.02475242987849,143.29024856591712,136.0265350341797
2025-11-08,129.77451240158297,116.01302491988471,143.53599988328122,136.0265350341797
2025-11-09,129.8915552727024,116.00323877739301,143.7798717680118,136.0265350341797
2025-11-10,130.00862902367336,115.99533802903356,144.02192001831318,136.0265350341797
2025-11-11,130.12573356716086,115.98926944515986,144.26219768916187,136.0265350341797
2025-11-12,130.2428688160769,115.98498235130269,144.50075528085114,136.0265350341797
2025-11-13,130.36003468357973,115.9824284560686,144.73764091109086,136.0265350341797
2025-11-14,130.4772310830733,115.98156169375919,144.9729004723874,136.0265350341797
2025-11-15,130.59445792820637,115.98233808019609,145.20657777621665,136.0265350341797
2025-11-16,130.71171513287203,115.9847155804194,145.43871468532467,136.0265350341797
2025-11-17,130.82900261120682,115.98865398708195,145.6693512353317,136.0265350341797
2025-11-18,130.94632027759013,115.99411480849842,145.89852574668183,136.0265350341797
2025-11-19,131.06366804664356,116.00106116542628,146.12627492786083,136.0265350341797
2025-11-20,131.1810458332301,116.00945769575712,146.35263397070304,136.0265350341797
2025-11-21,131.29845355245357,116.01927046638852,146.5776366385186,136.0265350341797
